title,developer,platform,release_date,critic_score,number_of_critics,user_score,number_of_users,player_mode,esrb_rating,genre
Observer,Bloober Team,Xbox One,08/15/2017,86.0,8,7.4,62,No Online Multiplayer,M,"Adventure, 3D, First-Person"
Dying Light: The Following,Techland,Xbox One,02/09/2016,86.0,7,8.3,114,,M,"Action Adventure, Survival"
DiRT 4,Codemasters,Xbox One,06/06/2017,86.0,21,6.9,75,,T,"Racing, Simulation, Automobile"
Forza Motorsport 7,Turn 10,Xbox One,09/29/2017,86.0,79,6.4,1016,Up to 24 ,E,"Racing, Simulation, Automobile"
Mortal Kombat X,Warner Bros. Interactive Entertainment,Xbox One,04/14/2015,86.0,21,7.6,386,Up to 10 ,M,"Action, Fighting, 2D, 3D"
Dark Souls Remastered,From Software,Xbox One,05/25/2018,86.0,9,7.9,242,Up to 6 ,M,"Role-Playing, Action RPG"
NHL 20,Electronic Arts,Xbox One,09/10/2019,85.0,12,4.4,66,Up to 12 ,E10+,"Sports, Team, Ice Hockey, Sim"
Thronebreaker: The Witcher Tales,CD Projekt Red Studio,Xbox One,12/04/2018,85.0,7,7.1,77,Online Multiplayer,T,"Role-Playing, Action RPG, Strategy, Turn-Based, Card Battle"
Firewatch,Campo Santo,Xbox One,09/21/2016,85.0,9,5.9,169,,M,"Adventure, 3D, First-Person"
Guacamelee! 2,DrinkBox Studios,Xbox One,01/18/2019,85.0,9,6.7,33,Up to 4 ,,"Action, Platformer, 2D, None, Metroidvania"
Call of Duty: Black Ops 4,Treyarch,Xbox One,10/12/2018,85.0,19,4.2,428,Up to more than 64 ,M,"Action, Shooter, First-Person, Tactical"
Batman: Arkham Knight,Rocksteady Studios,Xbox One,06/23/2015,85.0,16,7.5,1103,No Online Multiplayer,M,"General, Fantasy, Action Adventure, Open-World"
Assassin's Creed Origins,Ubisoft,Xbox One,10/27/2017,85.0,42,7.7,956,No Online Multiplayer,M,"Miscellaneous, Action Adventure, Edutainment, Open-World"
