title,developer,platform,release_date,critic_score,number_of_critics,user_score,number_of_users,player_mode,esrb_rating,genre
Elden Ring,From Software,PC,02/25/2022,94.0,60,6.9,5488,Up to 4 ,M,"Role-Playing, Action RPG"
Grim Fandango,LucasArts,PC,10/14/1998,94.0,15,9.0,798,No Online Multiplayer,T,"Adventure, General, General, 3D, Third-Person, Fantasy"
Diablo,Blizzard Entertainment,PC,12/31/1996,94.0,12,8.6,1373,Up to 4 ,M,"Role-Playing, Action RPG, Action RPG"
Sid Meier's Civilization IV,Firaxis Games,PC,10/25/2005,94.0,50,8.2,1165,Online Multiplayer,E10+,"Strategy, Turn-Based, Historic, Historic, 4X"
The Witcher 3: Wild Hunt,CD Projekt Red Studio,PC,05/18/2015,93.0,32,9.1,22651,No Online Multiplayer,M,"Action RPG, Role-Playing, Action RPG"
Company of Heroes,Relic,PC,09/13/2006,93.0,55,8.7,1459,Up to 8 ,M,"Strategy, Real-Time, Historic, General, Historic"
Dwarf Fortress,Bay 12 Games,PC,12/06/2022,93.0,9,8.4,227,No Online Multiplayer,,"Turn-Based, Fantasy, General, Simulation, Strategy, General, Management, Government"
Half-Life: Alyx,Valve Software,PC,03/23/2020,93.0,69,9.2,2800,No Online Multiplayer,,"Action, Shooter, First-Person, Arcade"
Divinity: Original Sin II,Larian Studios Games,PC,09/14/2017,93.0,72,8.8,2416,Up to 4 ,,"Action RPG, Role-Playing, Western-Style"
Unreal Tournament 2004,Epic Games,PC,03/16/2004,93.0,48,8.7,801,1-32 ,M,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
Starcraft II: Wings of Liberty,Blizzard Entertainment,PC,07/27/2010,93.0,82,8.2,3736,Up to 4 ,T,"Strategy, Real-Time, Sci-Fi, Command"
Minecraft,Mojang AB,PC,11/18/2011,93.0,33,8.1,7867,Up to 10 ,E10+,"Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy, Fantasy"
Street Fighter 6,Capcom,PC,06/02/2023,93.0,26,6.1,56,,T,"Action, Fighting, 2D"
Red Dead Redemption 2,Rockstar Games,PC,11/05/2019,93.0,44,6.7,5416,Up to 32 ,M,"Action Adventure, Open-World"
Grand Theft Auto III,DMA Design,PC,05/20/2002,93.0,20,8.1,1696,No Online Multiplayer,M,"Action Adventure, Modern, Modern, Open-World"
Homeworld,Relic,PC,08/31/1999,93.0,20,8.8,408,Up to 8 ,E,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command"
God of War,SCE Santa Monica,PC,01/14/2022,93.0,60,8.5,1472,No Online Multiplayer,M,"Action Adventure, Linear"
Beat Saber,Hyperbolic Magnetism,PC,05/21/2019,93.0,7,8.5,201,No Online Multiplayer,,"Action, Rhythm, General, Music"
Hades,Supergiant Games,PC,09/17/2020,93.0,58,8.8,1567,No Online Multiplayer,T,"Role-Playing, Action Adventure, General, Linear, Roguelike"
Star Wars: Knights of the Old Republic,BioWare,PC,11/18/2003,93.0,33,9.0,2272,No Online Multiplayer,T,"Role-Playing, Third-Person, Third-Person, General, Western-Style"
World of Warcraft,Blizzard Entertainment,PC,11/23/2004,93.0,57,7.4,3451,Massively Multiplayer,T,"Role-Playing, Miscellaneous, Massively Multiplayer Online, Massively Multiplayer, Board / Card Game, Fantasy, Fantasy"
Grand Theft Auto: San Andreas,Rockstar North,PC,06/07/2005,93.0,47,8.9,4221,No Online Multiplayer,M,"Action Adventure, Modern, Modern, Open-World"
Call of Duty 4: Modern Warfare,Infinity Ward,PC,11/05/2007,92.0,40,8.5,3842,Up to 18 ,M,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade"
Warcraft III: Reign of Chaos,Blizzard Entertainment,PC,07/03/2002,92.0,40,9.2,2413,,T,"Strategy, Real-Time, Fantasy, General, Fantasy"
The Sims,Maxis,PC,02/04/2000,92.0,38,8.0,794,,T,"Simulation, Miscellaneous, Virtual Life, Virtual, Virtual Life"
Sid Meier's Gettysburg!,Firaxis Games,PC,09/30/1997,92.0,7,7.4,43,1-8 ,K-A,"Strategy, Real-Time, Wargame, Real-Time, General"
World Soccer Winning Eleven 7 International,KCET,PC,04/09/2004,92.0,7,7.0,91,1-2 ,E,"Sports, Traditional, Team, Soccer, Sim, Sim"
Team Fortress 2,Valve Software,PC,10/10/2007,92.0,17,9.0,7339,Up to 32 ,M,"Action, Shooter, Shooter, First-Person, Modern, Tactical, Modern"
System Shock 2,Looking Glass Studios,PC,08/11/1999,92.0,20,9.1,707,1 Player,M,"Action Adventure, Sci-Fi, Sci-Fi, Survival"
Tom Clancy's Splinter Cell: Chaos Theory,Ubisoft Montreal,PC,03/28/2005,92.0,36,8.7,602,No Online Multiplayer,M,"Action Adventure, Modern, General, Modern"
Resident Evil 4,Capcom,PC,03/24/2023,92.0,22,7.4,1309,,,"Action Adventure, Survival"
Rome: Total War,Creative Assembly,PC,09/22/2004,92.0,58,9.0,1474,No Online Multiplayer,T,"Strategy, Real-Time, Historic, General, Historic"
Okami HD,Capcom,PC,12/12/2017,92.0,10,7.7,235,No Online Multiplayer,T,"Action Adventure, General"
Undertale,tobyfox,PC,09/15/2015,92.0,43,8.5,5285,No Online Multiplayer,,"Role-Playing, General, Japanese-Style"
Thief: The Dark Project,Looking Glass Studios,PC,11/30/1998,92.0,18,9.0,445,1 Player,M,"Action Adventure, Fantasy, General, Fantasy"
Age of Empires II: The Age of Kings,Ensemble Studios,PC,09/30/1999,92.0,21,9.0,1377,Up to 8 ,T,"Strategy, Real-Time, Historic, Historic, Command"
Unreal Tournament (1999),Epic Games,PC,11/30/1999,92.0,21,9.0,677,1-32 ,M,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
Sid Meier's Alpha Centauri,Firaxis Games,PC,02/12/1999,92.0,19,8.7,268,,E,"Strategy, Turn-Based, Sci-Fi, Sci-Fi, 4X"
Galactic Civilizations II: Twilight of the Arnor,Stardock,PC,04/30/2008,92.0,19,8.3,142,1 Player,,"Strategy, Turn-Based, Sci-Fi, Sci-Fi, 4X"
Final Fantasy XIV: Endwalker,Square Enix,PC,12/07/2021,92.0,28,9.1,1698,,,"Role-Playing, Massively Multiplayer"
Out of the Park Baseball 17,Out Of The Park Developments,PC,03/22/2016,92.0,8,3.3,240,,,"Sports, Team, Baseball, Sim"
The Witcher 3: Wild Hunt - Blood and Wine,CD Projekt Red Studio,PC,05/30/2016,92.0,50,9.1,3806,No Online Multiplayer,M,"Role-Playing, Action RPG"
Tiger Woods PGA Tour 2003,Headgate,PC,11/05/2002,92.0,14,5.0,40,1-8 ,E,"Sports, Traditional, Individual, Golf, Sim, Sim"
Dishonored,Arkane Studios,PC,10/08/2012,91.0,29,8.5,5294,No Online Multiplayer,M,"Action Adventure, Modern, General, Modern"
Medal of Honor: Allied Assault,2015,PC,01/20/2002,91.0,34,8.5,607,,T,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade"
Myth: The Fallen Lords,Bungie Software,PC,10/31/1997,91.0,9,8.5,103,1-16 ,M,"Strategy, Real-Time, Fantasy, General, Fantasy"
Microsoft Flight Simulator,Asobo Studio,PC,08/18/2020,91.0,66,7.2,1367,Online Multiplayer,E,"Simulation, Flight, Civilian"
World of Warcraft: Wrath of the Lich King,Blizzard Entertainment,PC,11/13/2008,91.0,47,7.7,1514,Massively Multiplayer,T,"Role-Playing, Miscellaneous, Massively Multiplayer Online, Massively Multiplayer, Board / Card Game, Fantasy, Fantasy"
I Was a Teenage Exocolonist,Northway Games,PC,08/25/2022,91.0,11,7.7,27,No Online Multiplayer,,"Strategy, Turn-Based, Card Battle"
Overwatch,Blizzard Entertainment,PC,05/23/2016,91.0,64,6.4,6599,Up to 12 ,T,"General, Action, Shooter, First-Person, Tactical"
F1 Challenge '99-'02,Electronic Arts,PC,06/24/2003,91.0,8,7.7,89,1-8 ,E,"Driving, Racing, Simulation, Formula One, Formula One, Automobile"
Baldur's Gate,BioWare,PC,12/21/1998,91.0,16,8.9,852,Up to 6 ,T,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style"
Chained Echoes,Matthias Linda,PC,12/08/2022,91.0,14,8.7,136,No Online Multiplayer,,"Role-Playing, Japanese-Style"
IL-2 Sturmovik,1C,PC,11/18/2001,91.0,12,8.6,179,1-32 ,T,"Simulation, Flight, WWII, WWII, Combat"
FreeSpace 2,Volition Inc.,PC,09/30/1999,91.0,16,8.7,159,1-8 ,E,"Simulation, Sci-Fi, Space, Small Spaceship, Small Spaceship, Combat"
Metal Gear Solid V: The Phantom Pain,Kojima Productions,PC,09/01/2015,91.0,13,7.9,2881,Up to 16 ,M,"Action Adventure, Modern, Open-World"
Tom Clancy's Splinter Cell,Ubisoft Montreal,PC,02/19/2003,91.0,20,8.5,487,No Online Multiplayer,T,"Action Adventure, Modern, General, Modern"
Forza Horizon 5,Playground Games,PC,11/09/2021,91.0,20,6.7,1137,,E,"Racing, Simulation, Automobile"
Kentucky Route Zero - Act III,Cardboard Computer,PC,05/06/2014,91.0,7,6.6,175,,,"Adventure, General"
Crysis,Crytek,PC,11/13/2007,91.0,56,8.1,2846,No Online Multiplayer,M,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
World of Warcraft: The Burning Crusade,Blizzard Entertainment,PC,01/16/2007,91.0,46,6.0,1563,Massively Multiplayer,T,"Role-Playing, Miscellaneous, Massively Multiplayer Online, Massively Multiplayer, Board / Card Game, Fantasy, Fantasy"
Tiger Woods PGA Tour 2005,Headgate,PC,09/20/2004,91.0,16,4.0,52,1-8 ,E,"Sports, Traditional, Individual, Golf, Sim, Sim"
The Longest Journey,Funcom,PC,11/16/2000,91.0,26,8.7,575,No Online Multiplayer,M,"Adventure, Third-Person, Point-and-Click, Fantasy, Fantasy"
Tony Hawk's Pro Skater 2,Neversoft Entertainment,PC,10/25/2000,91.0,22,8.4,246,1-4 ,T,"Sports, Alternative, Individual, Skateboarding, Skateboarding, Skate / Skateboard"
Star Wars Jedi Knight: Dark Forces II,LucasArts,PC,10/09/1997,91.0,10,8.6,224,Up to 32 ,T,"Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade"
Batman: Arkham Asylum,Rocksteady Studios,PC,09/15/2009,91.0,29,8.6,2982,No Online Multiplayer,T,"Action Adventure, Fantasy, General, Fantasy"
Galactic Civilizations II: Dark Avatar,Stardock,PC,02/14/2007,91.0,22,7.9,51,1 Player,,"Strategy, Turn-Based, Sci-Fi, Sci-Fi, 4X"
The Operative: No One Lives Forever,Monolith Productions,PC,11/11/2000,91.0,32,8.7,245,1-16 ,M,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade"
Crusader Kings III,Paradox Interactive,PC,09/01/2020,91.0,61,8.4,668,Up to 64 ,M,"Strategy, Real-Time, General"
Battlefield 2,Digital Illusions,PC,06/21/2005,91.0,55,8.4,1130,64  Online,T,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern"
Street Fighter IV,Capcom,PC,07/01/2009,91.0,23,7.8,446,2  Online,T,"Action, Fighting, Fighting, 3D, 2D, 3D"
Fallout 3,Bethesda Game Studios,PC,10/28/2008,91.0,48,7.9,5220,No Online Multiplayer,M,"Role-Playing, First-Person, First-Person, Western-Style"
Batman: Arkham City,Rocksteady Studios,PC,11/21/2011,91.0,27,8.7,2974,,T,"Action Adventure, Fantasy, Fantasy, Open-World"
Fez,Polytron Corp.,PC,05/01/2013,91.0,11,6.8,1221,No Online Multiplayer,E,"Action, Platformer, Platformer, 2D, 2D"
Planescape: Torment,Black Isle Studios,PC,12/14/1999,91.0,22,9.2,1123,No Online Multiplayer,T,"Role-Playing, General, PC-style RPG, Western-Style"
Neverwinter Nights,BioWare,PC,06/16/2002,91.0,34,8.2,670,Up to 64 ,T,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style"
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,Monolith Productions,PC,09/30/2002,91.0,29,8.7,257,,M,"Action, Action Adventure, Shooter, General, Shooter, First-Person, Modern, Modern, Arcade"
Dragon Age: Origins,BioWare,PC,11/03/2009,91.0,67,8.8,4814,No Online Multiplayer,M,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style"
Mark of the Ninja,Klei Entertainment,PC,10/16/2012,91.0,14,8.0,1163,No Online Multiplayer,M,"Action, Platformer, Platformer, 2D, 2D"
Disco Elysium,ZA/UM,PC,10/15/2019,91.0,64,8.5,1345,No Online Multiplayer,,"Role-Playing, General, Western-Style"
Dark Souls II,From Software,PC,04/25/2014,91.0,36,7.2,3063,Up to 4 ,T,"Action RPG, Role-Playing, Action RPG"
Spelunky 2,Mossmouth,PC,09/29/2020,91.0,16,6.8,158,Online Multiplayer,,"Action, Platformer, 2D"
Call of Duty,Infinity Ward,PC,10/29/2003,91.0,44,8.4,1299,1-32 ,T,"Action, Shooter, Shooter, First-Person, Third-Person, Historic, Tactical, Historic, Arcade"
Madden NFL 2004,EA Tiburon,PC,08/12/2003,91.0,13,7.1,29,1-8 ,E,"Sports, Traditional, Team, Football, Sim, Sim"
The Legend of Zelda: Breath of the Wild,Nintendo,Switch,03/03/2017,97.0,109,8.7,20451,No Online Multiplayer,E10+,"Action Adventure, Open-World"
Super Mario Odyssey,Nintendo,Switch,10/27/2017,97.0,113,8.9,7466,No Online Multiplayer,E10+,"Action, Platformer, 3D"
The House in Fata Morgana - Dreams of the Revenants Edition -,HuneX,Switch,04/09/2021,96.0,10,8.6,851,No Online Multiplayer,M,"Adventure, Visual Novel"
Portal Companion Collection,Valve Software,Switch,06/28/2022,95.0,10,8.3,131,,,"Miscellaneous, Compilation"
The Legend of Zelda: Tears of the Kingdom,Nintendo,Switch,05/12/2023,95.0,127,8.7,6177,No Online Multiplayer,E10+,"Action Adventure, Open-World"
Tetris Effect: Connected,Monstars Inc.,Switch,10/08/2021,94.0,22,8.0,93,Up to 8 ,E,"Puzzle, Stacking"
Metroid Prime Remastered,Nintendo,Switch,02/08/2023,94.0,94,8.8,934,No Online Multiplayer,T,"Action, Shooter, First-Person, Arcade"
Persona 5 Royal,Atlus,Switch,10/21/2022,94.0,25,8.4,278,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Hades,Supergiant Games,Switch,09/17/2020,93.0,48,9.0,826,No Online Multiplayer,T,"Role-Playing, Action Adventure, General, Linear, Roguelike"
Divinity: Original Sin II - Definitive Edition,Larian Studios Games,Switch,09/04/2019,93.0,18,8.4,350,Up to 4 ,M,"Role-Playing, Western-Style"
Ori and the Will of the Wisps,Moon Studios,Switch,09/17/2020,93.0,24,8.7,463,No Online Multiplayer,E,"Action, Platformer, 2D, None, Metroidvania"
Undertale,tobyfox,Switch,09/18/2018,93.0,8,8.2,519,No Online Multiplayer,E10+,"Role-Playing, Japanese-Style"
Super Smash Bros. Ultimate,Nintendo,Switch,12/07/2018,93.0,99,8.6,3783,Up to 8 ,E10+,"Action, Fighting, 2D"
Celeste,Matt Makes Games Inc.,Switch,01/25/2018,92.0,36,8.6,1105,No Online Multiplayer,E10+,"Action, Platformer, 2D"
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,Monolith Soft,Switch,04/25/2023,92.0,12,9.1,217,No Online Multiplayer,T,"Role-Playing, Action RPG"
Bayonetta 2,Nintendo,Switch,02/16/2018,92.0,31,8.6,601,No Online Multiplayer,M,"Action Adventure, Linear"
Mario Kart 8 Deluxe,Nintendo,Switch,04/28/2017,92.0,95,8.6,2703,Up to 12 ,E,"Other, Racing, Arcade, Automobile"
Unavowed,Wadjet Eye Games,Switch,07/07/2021,91.0,7,8.2,13,No Online Multiplayer,T,"General, Adventure, Point-and-Click"
INSIDE,PLAYDEAD,Switch,06/28/2018,91.0,30,8.6,330,No Online Multiplayer,M,"Action, Platformer, 2D"
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Square Enix,Switch,09/27/2019,91.0,50,8.6,742,No Online Multiplayer,T,"Role-Playing, Japanese-Style"
Sonic Mania Plus,Sega,Switch,07/17/2018,91.0,24,8.7,381,Up to 4 ,E,"Action, Platformer, 2D"
SteamWorld Heist: Ultimate Edition,Image & Form,Switch,12/28/2017,91.0,9,8.2,186,No Online Multiplayer,E10+,"Strategy, Turn-Based, General"
Shovel Knight: Treasure Trove,Yacht Club Games,Switch,03/03/2017,91.0,17,8.3,522,No Online Multiplayer,E,"Action, Platformer, 2D"
Animal Crossing: New Horizons,Nintendo,Switch,03/20/2020,90.0,111,5.6,6587,Up to 8 ,E,"Simulation, Virtual, Virtual Life"
Persona 4 Golden,Atlus,Switch,01/19/2023,90.0,23,8.4,74,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Ori and the Blind Forest: Definitive Edition,Moon Studios,Switch,09/27/2019,90.0,20,8.5,419,No Online Multiplayer,E,"Action, Platformer, 2D, None, Metroidvania"
Bastion,Supergiant Games,Switch,09/13/2018,90.0,7,7.6,151,No Online Multiplayer,E10+,"Role-Playing, Action RPG"
Hollow Knight,Team Cherry,Switch,06/12/2018,90.0,27,9.0,1984,No Online Multiplayer,E10+,"Action, Action Adventure, General, Platformer, None, Metroidvania"
Chained Echoes,Matthias Linda,Switch,12/08/2022,90.0,15,8.8,81,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Chicory: A Colorful Tale,Team Chicory,Switch,12/15/2021,90.0,8,6.8,25,No Online Multiplayer,E,"Adventure, General"
Bayonetta + Bayonetta 2,PlatinumGames,Switch,02/16/2018,90.0,27,8.7,405,No Online Multiplayer,M,"Miscellaneous, Compilation"
Xenoblade Chronicles: Definitive Edition,Monolith Soft,Switch,05/29/2020,89.0,92,8.8,1315,No Online Multiplayer,T,"Role-Playing, Action RPG"
Dead Cells,Motion Twin,Switch,08/07/2018,89.0,36,8.4,433,No Online Multiplayer,T,"Action, Platformer, 2D"
Into the Breach,Subset Games,Switch,08/28/2018,89.0,15,7.9,183,No Online Multiplayer,E10+,"Strategy, Turn-Based, Tactics"
Super Mario 3D World + Bowser's Fury,Nintendo,Switch,02/12/2021,89.0,122,8.7,850,Up to 4 ,E,"Action, Platformer, 3D"
Atari 50: The Anniversary Celebration,Digital Eclipse,Switch,11/11/2022,89.0,18,7.8,14,No Online Multiplayer,T,"Miscellaneous, Compilation"
Xenoblade Chronicles 3,Monolith Soft,Switch,07/29/2022,89.0,121,8.5,1303,No Online Multiplayer,T,"Role-Playing, Action RPG"
Fire Emblem: Three Houses,Intelligent Systems,Switch,07/26/2019,89.0,102,8.8,2849,No Online Multiplayer,T,"Strategy, Turn-Based, Tactics"
NieR: Automata - The End of YoRHa Edition,Virtuos,Switch,10/06/2022,89.0,34,6.9,239,No Online Multiplayer,M,"Role-Playing, Action RPG"
Okami HD,Capcom,Switch,08/09/2018,89.0,32,8.4,233,No Online Multiplayer,T,"Action Adventure, General"
Death's Door,Acid Nerve,Switch,11/23/2021,89.0,12,8.1,107,No Online Multiplayer,T,"Action Adventure, General"
A Short Hike,adamgryu,Switch,08/18/2020,88.0,17,8.5,194,No Online Multiplayer,E,"Adventure, General"
Neon White,Ben Esposito,Switch,06/16/2022,88.0,23,8.0,38,No Online Multiplayer,T,"Action, Shooter, First-Person, Arcade"
DUSK,New Blood Interactive,Switch,10/28/2021,88.0,14,8.2,34,,M,"Action, Shooter, First-Person, Arcade"
Hyper Light Drifter,Heart Machine,Switch,09/06/2018,88.0,21,7.9,120,No Online Multiplayer,T,"Role-Playing, Action RPG"
Tunic,ISOMETRICORP Games,Switch,09/27/2022,88.0,8,8.5,42,No Online Multiplayer,E10+,"Role-Playing, Action Adventure, Action RPG, Open-World"
Cuphead in the Delicious Last Course,Studio MDHR,Switch,06/30/2022,88.0,16,8.5,34,No Online Multiplayer,E10+,"Action, Platformer, 2D"
13 Sentinels: Aegis Rim,Vanillaware,Switch,04/12/2022,88.0,32,8.8,160,No Online Multiplayer,T,"Adventure, General"
What Remains of Edith Finch,Giant Sparrow,Switch,07/04/2019,88.0,7,7.8,115,No Online Multiplayer,T,"Adventure, 3D, First-Person"
Fez,Polytron Corp.,Switch,04/14/2021,88.0,14,6.8,51,No Online Multiplayer,,"Action, Platformer, 2D"
Metroid Dread,Mercury Steam,Switch,10/08/2021,88.0,124,8.7,2714,No Online Multiplayer,T,"Action, Action Adventure, Platformer, Open-World, None, Metroidvania"
Super Mario Maker 2,Nintendo,Switch,06/28/2019,88.0,98,8.5,955,Up to 4 ,E,"Action, Platformer, 2D"
Monster Hunter Rise,Capcom,Switch,03/26/2021,88.0,122,6.8,1074,Up to 4 ,T,"Role-Playing, Action RPG"
Downwell,Moppin,Switch,01/31/2019,88.0,11,7.3,97,No Online Multiplayer,E10+,"Action, General"
Diablo III: Eternal Collection,Blizzard Entertainment,Switch,11/02/2018,88.0,61,7.4,355,Up to 4 ,M,"Role-Playing, Action RPG"
SteamWorld Dig 2,Image & Form,Switch,09/21/2017,88.0,38,8.5,376,No Online Multiplayer,E10+,"Action, Action Adventure, General, Platformer, 2D, None, Metroidvania"
Ikaruga,Treasure,Switch,05/29/2018,88.0,25,7.8,63,No Online Multiplayer,E10+,"Action, Shooter, Shoot-'Em-Up, Vertical"
Cave Story +,Nicalis,Switch,06/20/2017,88.0,12,7.9,181,No Online Multiplayer,E10+,"Action, Platformer, 2D, None, Metroidvania"
Stardew Valley,ConcernedApe,Switch,10/05/2017,87.0,14,8.7,685,No Online Multiplayer,E10+,"Role-Playing, General"
Inscryption,Daniel Mullins Games,Switch,12/01/2022,87.0,8,8.2,37,No Online Multiplayer,M,"Strategy, Turn-Based, Card Battle"
Quake Remastered,id Software,Switch,08/19/2021,87.0,8,8.4,44,Up to 8 ,M,"Action, Shooter, First-Person, Arcade"
Cuphead,Studio MDHR,Switch,04/17/2019,87.0,40,8.4,485,No Online Multiplayer,E10+,"Action, Platformer, 2D"
The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Switch,04/27/2022,87.0,11,8.2,38,No Online Multiplayer,E10+,"Adventure, 3D, First-Person"
Astral Chain,PlatinumGames,Switch,08/30/2019,87.0,92,8.9,3463,No Online Multiplayer,T,"Action Adventure, General"
Dragon Ball FighterZ,Arc System Works,Switch,09/28/2018,87.0,24,7.8,198,Up to 6 ,T,"Action, Fighting, 2D"
Kentucky Route Zero: TV Edition,Cardboard Computer,Switch,01/28/2020,87.0,19,7.2,81,No Online Multiplayer,T,"Adventure, General"
Guacamelee! 2,DrinkBox Studios,Switch,12/10/2018,87.0,17,8.3,72,Up to 4 ,,"Action, Platformer, 2D, None, Metroidvania"
Enter the Gungeon,Dodge Roll,Switch,12/14/2017,87.0,18,8.0,267,No Online Multiplayer,T,"Action, General, Shooter, Shoot-'Em-Up, Top-Down"
The Legend of Zelda: Link's Awakening,Nintendo,Switch,09/20/2019,87.0,111,8.4,1643,No Online Multiplayer,E,"Action Adventure, Open-World"
Super Mega Baseball 3,Metalhead Software,Switch,05/13/2020,87.0,9,8.0,32,Up to 4 ,E,"Sports, Team, Baseball, Arcade"
Two Point Campus,Two Point Studios,Switch,08/09/2022,87.0,9,6.7,10,No Online Multiplayer,T,"Strategy, Management, Business / Tycoon"
Tinykin,Splashteam,Switch,08/30/2022,87.0,8,8.4,21,No Online Multiplayer,E10+,"Action, Strategy, Real-Time, Platformer, 3D, Command"
Teenage Mutant Ninja Turtles: Shredder's Revenge,Tribute Games,Switch,06/16/2022,87.0,27,8.2,115,Up to 6 ,E10+,"Action, Beat-'Em-Up, 2D"
Theatrhythm Final Bar Line,indieszero,Switch,02/16/2023,87.0,42,7.3,49,Up to 8 ,T,"Action, Rhythm, Music"
Overcooked! All You Can Eat,Ghost Town Games Ltd.,Switch,03/23/2021,87.0,8,7.9,27,Up to 4 ,E,"Miscellaneous, Compilation"
OlliOlli World,roll7,Switch,02/08/2022,87.0,13,7.3,36,No Online Multiplayer,E10+,"Action, Platformer, 2D"
Axiom Verge,Tom Happ,Switch,10/05/2017,87.0,15,8.2,155,No Online Multiplayer,E10+,"Action, Action Adventure, General, Platformer, None, Metroidvania"
Grindstone,Capy Games,Switch,12/15/2020,87.0,13,7.4,22,No Online Multiplayer,T,"Puzzle, General, Matching"
Katamari Damacy REROLL,Bandai Namco Games,Switch,12/07/2018,87.0,23,7.8,114,No Online Multiplayer,E,"Action Adventure, General"
Owlboy,BlitWorks,Switch,02/13/2018,87.0,27,7.4,173,No Online Multiplayer,E10+,"Action Adventure, General"
Velocity 2X,FuturLab,Switch,09/20/2018,87.0,13,8.2,31,No Online Multiplayer,E10+,"Action, General, Shooter, Shoot-'Em-Up, Top-Down"
Streets of Rage 4,DotEmu,Switch,04/30/2020,87.0,16,8.6,180,2 ,T,"General, Action, Beat-'Em-Up, 2D"
There is no game : Wrong dimension,Draw Me A Pixel,Switch,04/14/2021,87.0,10,8.0,32,No Online Multiplayer,E10+,"Adventure, General, Point-and-Click"
Iconoclasts,Joakim Sandberg,Switch,08/02/2018,87.0,9,7.7,76,No Online Multiplayer,T,"Action, Action Adventure, Platformer, Open-World, None, Metroidvania"
The Last Friend,Stonebot Studio,Switch,04/07/2022,86.0,7,7.6,5,No Online Multiplayer,E10+,"Strategy, Real-Time, Defense"
Bustafellows,eXtend,Switch,07/30/2021,86.0,7,6.4,13,No Online Multiplayer,M,"Adventure, Visual Novel"
Rocket League,Psyonix,Switch,11/14/2017,86.0,32,7.8,396,Up to 8 ,E,"Sports, Team, Soccer, Arcade"
The Great Ace Attorney Chronicles,Capcom,Switch,07/27/2021,86.0,48,8.0,256,No Online Multiplayer,T,"Miscellaneous, Compilation"
Mario Kart 8 Deluxe: Booster Course Pass - Wave 4,Nintendo,Switch,03/09/2023,86.0,8,7.9,25,Up to 12 ,,"Racing, Arcade, Automobile"
Overboard!,inkle,Switch,06/02/2021,86.0,16,7.8,10,No Online Multiplayer,T,"Adventure, General"
The Messenger,Sabotage Studio,Switch,08/30/2018,86.0,42,8.4,229,No Online Multiplayer,E10+,"Action, Platformer, 2D, None, Metroidvania"
Disco Elysium: The Final Cut,ZA/UM,Switch,10/12/2021,86.0,19,8.3,89,No Online Multiplayer,M,"Role-Playing, General, Western-Style"
Unpacking,Witch Beam,Switch,11/02/2021,86.0,9,7.2,27,No Online Multiplayer,E,"Puzzle, Action, General"
Donkey Kong Country: Tropical Freeze,Retro Studios,Switch,05/04/2018,86.0,75,8.6,758,No Online Multiplayer,E,"Action, Platformer, 2D"
Monster Boy and the Cursed Kingdom,FDG Entertainment,Switch,12/04/2018,86.0,22,8.0,148,No Online Multiplayer,E10+,"Action, Action Adventure, General, Platformer, Metroidvania"
Transistor,Supergiant Games,Switch,11/01/2018,86.0,9,8.0,91,No Online Multiplayer,T,"Role-Playing, Action RPG"
Bayonetta 3,PlatinumGames,Switch,10/28/2022,86.0,123,7.2,636,No Online Multiplayer,M,"Action Adventure, Linear"
Minecraft,4J Studios,Switch,06/21/2018,86.0,24,7.4,394,Up to 8 ,E10+,"Action Adventure, Sandbox"
Shantae and the Pirate's Curse,WayForward,Switch,03/20/2018,86.0,11,8.0,80,No Online Multiplayer,T,"Action, Platformer, 2D"
Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,Switch,10/08/2018,86.0,9,7.9,63,No Online Multiplayer,,"Action, Platformer, 2D, None, Metroidvania"
Elden Ring,From Software,Xbox Series X,02/25/2022,96.0,19,7.6,2946,Up to 4 ,M,"Role-Playing, Action RPG"
Persona 5 Royal,Atlus,Xbox Series X,10/21/2022,94.0,9,8.4,184,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
The Witcher 3: Wild Hunt - Complete Edition,CD Projekt Red Studio,Xbox Series X,01/26/2023,94.0,7,8.5,221,No Online Multiplayer,M,"Role-Playing, Action RPG"
